ExtremeAbsMode1-Value,ExtremeAbsMode1-freq,ExtremeAbsMode2-Value,ExtremeAbsMode2-freq,ExtremeAbsMode3-Value,ExtremeAbsMode3-freq,ExtremeAbsMode4-Value,ExtremeAbsMode4-freq,ExtremeAbsMode5-Value,ExtremeAbsMode5-freq,ExtremeDiffMode1-Value,ExtremeDiffMode1-freq,ExtremeDiffMode2-Value,ExtremeDiffMode2-freq,ExtremeDiffMode3-Value,ExtremeDiffMode3-freq,ExtremeDiffMode4-Value,ExtremeDiffMode4-freq,ExtremeDiffMode5-Value,ExtremeDiffMode5-freq,ExtremeTrendMode1-Value,ExtremeTrendMode1-freq,ExtremeTrendMode2-Value,ExtremeTrendMode2-freq,ExtremeTrendMode3-Value,ExtremeTrendMode3-freq,ExtremeTrendMode4-Value,ExtremeTrendMode4-freq,ExtremeTrendMode5-Value,ExtremeTrendMode5-freq,ExtremePowerMode1-Value,ExtremePowerMode1-freq,ExtremePowerMode2-Value,ExtremePowerMode2-freq,ExtremePowerMode3-Value,ExtremePowerMode3-freq,ExtremePowerMode4-Value,ExtremePowerMode4-freq,ExtremePowerMode5-Value,ExtremePowerMode5-freq,ExtremePower2Mode1-Value,ExtremePower2Mode1-freq,ExtremePower2Mode2-Value,ExtremePower2Mode2-freq,ExtremePower2Mode3-Value,ExtremePower2Mode3-freq,ExtremePower2Mode4-Value,ExtremePower2Mode4-freq,ExtremePower2Mode5-Value,ExtremePower2Mode5-freq,ExpertResult
 1.000, 3.062, 0.789, 1.506, 0.783, 1.230, 0.770, 0.916, 0.769, 2.911, 0.806, 3.062, 0.596, 2.936, 0.586, 2.911, 0.568, 1.506, 0.386, 2.987, 1.000, 3.062, 0.789, 1.506, 0.783, 1.230, 0.770, 0.916, 0.769, 2.911, 1.760, 1.506, 1.614, 3.062, 1.541, 2.911, 1.285, 2.936, 1.082, 1.230, 4.460, 1.732, 4.208, 0.916, 3.633, 3.200, 3.633, 1.142, 3.471, 1.004,7
 1.000, 3.238, 0.647, 3.200, 0.583, 1.067,0,0,0,0, 0.831, 3.238, 0.510, 3.200, 0.362, 1.067,0,0,0,0, 1.000, 3.238, 0.647, 3.200, 0.583, 1.067,0,0,0,0, 1.243, 3.200, 1.113, 1.481, 1.030, 3.238, 0.755, 1.004, 0.644, 1.230, 2.368, 1.481, 2.343, 1.092, 2.114, 0.941, 2.033, 1.230, 1.620, 1.004,7
 1.000, 2.911, 0.733, 2.773, 0.634, 1.518, 0.588, 3.087,0,0, 0.943, 2.911, 0.643, 2.773, 0.588, 1.518, 0.519, 3.087,0,0, 1.000, 2.911, 0.733, 2.773, 0.634, 1.518, 0.588, 3.087,0,0, 1.830, 3.087, 1.366, 2.911, 0.923, 2.773, 0.892, 1.518, 0.678, 2.874, 2.122, 3.087, 1.466, 2.911, 1.156, 1.518, 1.107, 2.773, 0.913, 2.874,7
 1.000, 3.175, 0.889, 3.200, 0.684, 0.954, 0.672, 0.991, 0.622, 1.042, 0.670, 3.175, 0.574, 3.200, 0.427, 3.137,0,0,0,0, 1.000, 3.175, 0.889, 3.200, 0.684, 0.954, 0.672, 0.991, 0.622, 1.042, 2.454, 3.200, 1.362, 3.137, 1.139, 1.042, 0.864, 3.175,0,0,10.024, 1.042, 6.581, 3.200, 4.260, 1.644, 4.010, 1.481, 3.211, 0.991,6
 1.000, 1.016, 0.954, 0.916, 0.933, 0.941, 0.904, 0.966, 0.863, 1.054, 0.223, 1.016, 0.166, 1.054, 0.111, 0.966, 0.076, 1.318,0,0, 1.000, 1.016, 0.954, 0.916, 0.933, 0.941, 0.904, 0.966, 0.863, 1.054, 2.300, 1.054, 0.857, 1.318, 0.525, 0.966,0,0,0,0,16.252, 1.054,10.212, 1.318, 5.194, 1.581, 4.971, 1.933, 4.822, 1.682,4
 1.000, 2.283, 0.772, 2.258, 0.556, 2.393,0,0,0,0, 0.732, 2.283, 0.496, 2.258, 0.484, 2.393,0,0,0,0, 1.000, 2.283, 0.772, 2.258, 0.556, 2.393,0,0,0,0, 2.450, 2.283, 1.785, 2.393, 1.239, 2.258,0,0,0,0, 4.087, 3.223, 3.118, 2.283, 2.765, 2.393, 1.709, 2.258, 1.287, 2.563,7
 1.000, 2.307,0,0,0,0,0,0,0,0, 0.946, 2.307,0,0,0,0,0,0,0,0, 1.000, 2.307,0,0,0,0,0,0,0,0, 2.705, 2.307,0,0,0,0,0,0,0,0, 3.128, 2.307,0,0,0,0,0,0,0,0,6
 1.000, 2.319, 0.599, 2.295,0,0,0,0,0,0, 0.835, 2.319, 0.461, 2.295,0,0,0,0,0,0, 1.000, 2.319, 0.599, 2.295,0,0,0,0,0,0, 1.722, 2.295, 1.604, 2.319,0,0,0,0,0,0, 2.020, 2.295, 1.972, 2.319,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 1.000, 7.090, 0.906, 7.065, 0.879, 7.303, 0.860, 7.027, 0.525, 7.241, 0.716, 7.303, 0.625, 7.090, 0.441, 5.986, 0.425, 7.027, 0.421, 7.241, 1.000, 7.090, 0.906, 7.065, 0.879, 7.303, 0.860, 7.027, 0.525, 7.241, 2.490, 7.090, 1.340, 7.303, 1.322, 7.241, 1.199, 5.898, 1.076, 7.027, 3.363, 7.090, 2.981, 7.065, 2.747, 7.027, 2.063, 5.898, 1.666, 7.303,8
