ExtremeAbsMode1-Value,ExtremeAbsMode1-freq,ExtremeAbsMode2-Value,ExtremeAbsMode2-freq,ExtremeAbsMode3-Value,ExtremeAbsMode3-freq,ExtremeAbsMode4-Value,ExtremeAbsMode4-freq,ExtremeAbsMode5-Value,ExtremeAbsMode5-freq,ExtremeDiffMode1-Value,ExtremeDiffMode1-freq,ExtremeDiffMode2-Value,ExtremeDiffMode2-freq,ExtremeDiffMode3-Value,ExtremeDiffMode3-freq,ExtremeDiffMode4-Value,ExtremeDiffMode4-freq,ExtremeDiffMode5-Value,ExtremeDiffMode5-freq,ExtremeTrendMode1-Value,ExtremeTrendMode1-freq,ExtremeTrendMode2-Value,ExtremeTrendMode2-freq,ExtremeTrendMode3-Value,ExtremeTrendMode3-freq,ExtremeTrendMode4-Value,ExtremeTrendMode4-freq,ExtremeTrendMode5-Value,ExtremeTrendMode5-freq,ExtremePowerMode1-Value,ExtremePowerMode1-freq,ExtremePowerMode2-Value,ExtremePowerMode2-freq,ExtremePowerMode3-Value,ExtremePowerMode3-freq,ExtremePowerMode4-Value,ExtremePowerMode4-freq,ExtremePowerMode5-Value,ExtremePowerMode5-freq,ExtremePower2Mode1-Value,ExtremePower2Mode1-freq,ExtremePower2Mode2-Value,ExtremePower2Mode2-freq,ExtremePower2Mode3-Value,ExtremePower2Mode3-freq,ExtremePower2Mode4-Value,ExtremePower2Mode4-freq,ExtremePower2Mode5-Value,ExtremePower2Mode5-freq,ExpertResult
 0.064, 1.782, 0.059, 0.635, 0.051, 0.806, 0.041, 1.855, 0.040, 0.879, 0.039, 1.782, 0.036, 0.635, 0.029, 0.806, 0.025, 1.855, 0.018, 1.611, 0.064, 1.782, 0.059, 0.635, 0.051, 0.806, 0.041, 1.855, 0.040, 0.879, 0.116, 0.635, 0.096, 1.782, 0.084, 1.855, 0.060, 0.806, 0.059, 0.952, 0.171, 1.782, 0.165, 0.635, 0.145, 0.952, 0.145, 0.806, 0.117, 0.879,9
 0.292, 0.610, 0.147, 0.684,0,0,0,0,0,0, 0.173, 0.610, 0.090, 0.684,0,0,0,0,0,0, 0.292, 0.610, 0.147, 0.684,0,0,0,0,0,0, 0.364, 0.610, 0.197, 0.684,0,0,0,0,0,0, 0.506, 0.610, 0.386, 0.684,0,0,0,0,0,0,9
 0.895, 0.708, 0.868, 0.610, 0.625, 0.854, 0.605, 0.977, 0.584, 0.781, 0.286, 0.708, 0.211, 0.977, 0.195, 1.050, 0.166, 1.440, 0.162, 1.172, 0.895, 0.708, 0.868, 0.610, 0.625, 0.854, 0.605, 0.977, 0.584, 0.781, 0.847, 0.708, 0.586, 1.050, 0.530, 0.977, 0.495, 1.294, 0.481, 0.854, 3.640, 0.708, 2.725, 0.854, 2.294, 0.610, 2.237, 1.050, 1.887, 0.977,8
 0.061, 2.108, 0.060, 2.610, 0.056, 2.485, 0.053, 0.778, 0.051, 0.678, 0.049, 2.108, 0.045, 2.610, 0.035, 2.485, 0.033, 0.778, 0.031, 1.983, 0.061, 2.108, 0.060, 2.610, 0.056, 2.485, 0.053, 0.778, 0.051, 0.678, 0.167, 2.108, 0.137, 2.610, 0.101, 0.778, 0.084, 2.309, 0.081, 1.983, 0.233, 2.610, 0.219, 2.108, 0.162, 0.778, 0.160, 1.983, 0.151, 2.485,8
 0.086, 1.380, 0.083, 1.431, 0.050, 0.602, 0.045, 0.678,0,0, 0.056, 1.380, 0.054, 1.431, 0.026, 0.678, 0.020, 0.602,0,0, 0.086, 1.380, 0.083, 1.431, 0.050, 0.602, 0.045, 0.678,0,0, 0.152, 1.431, 0.137, 1.380, 0.059, 0.678, 0.055, 0.602,0,0, 0.190, 2.384, 0.190, 1.431, 0.180, 1.380, 0.178, 2.058, 0.141, 0.678,8
 0.100, 0.678, 0.096, 0.627, 0.096, 0.728, 0.092, 1.004, 0.091, 0.803, 0.039, 1.004, 0.036, 1.531, 0.034, 0.853, 0.032, 0.678, 0.032, 1.656, 0.100, 0.678, 0.096, 0.627, 0.096, 0.728, 0.092, 1.004, 0.091, 0.803, 0.158, 0.853, 0.115, 0.728, 0.105, 1.983, 0.097, 1.004, 0.080, 0.678, 0.416, 0.853, 0.370, 3.012, 0.361, 4.894, 0.347, 5.722, 0.338, 2.635,8
 0.218, 2.861, 0.175, 2.811,0,0,0,0,0,0, 0.151, 2.861, 0.064, 2.811,0,0,0,0,0,0, 0.218, 2.861, 0.175, 2.811,0,0,0,0,0,0, 0.736, 2.861, 0.176, 2.811,0,0,0,0,0,0, 0.866, 2.861, 0.523, 2.811,0,0,0,0,0,0,5
 0.403, 2.295, 0.290, 2.222, 0.249, 2.148, 0.233, 2.417,0,0, 0.305, 2.295, 0.168, 2.417, 0.142, 2.222, 0.116, 2.148,0,0, 0.403, 2.295, 0.290, 2.222, 0.249, 2.148, 0.233, 2.417,0,0, 0.561, 2.295, 0.317, 2.148, 0.215, 2.417, 0.191, 2.222,0,0, 0.897, 2.295, 0.745, 2.148, 0.590, 2.222, 0.366, 2.417,0,0,6
 0.843, 2.417, 0.533, 2.368,0,0,0,0,0,0, 0.562, 2.417, 0.292, 2.368,0,0,0,0,0,0, 0.843, 2.417, 0.533, 2.368,0,0,0,0,0,0, 1.536, 2.417, 1.353, 2.368,0,0,0,0,0,0, 2.261, 2.417, 1.985, 2.368,0,0,0,0,0,0,6
 0.097, 2.786, 0.087, 2.585, 0.079, 2.685, 0.063, 2.460, 0.055, 0.678, 0.065, 2.786, 0.054, 2.585, 0.041, 2.460, 0.029, 2.685, 0.028, 0.678, 0.097, 2.786, 0.087, 2.585, 0.079, 2.685, 0.063, 2.460, 0.055, 0.678, 0.247, 2.585, 0.207, 2.786, 0.115, 0.678, 0.068, 2.685, 0.057, 1.230, 0.379, 2.585, 0.306, 2.786, 0.301, 2.685, 0.225, 0.678, 0.116, 0.828,6
 0.068, 0.653, 0.064, 2.811, 0.054, 0.803, 0.046, 0.853, 0.038, 0.753, 0.044, 2.811, 0.028, 0.653, 0.024, 3.162, 0.022, 1.079, 0.017, 0.803, 0.068, 0.653, 0.064, 2.811, 0.054, 0.803, 0.046, 0.853, 0.038, 0.753, 0.137, 0.653, 0.126, 2.811, 0.050, 1.079, 0.050, 0.853, 0.037, 0.803, 0.281, 0.653, 0.186, 2.811, 0.140, 0.853, 0.130, 0.803, 0.128, 0.753,7
 0.051, 2.886, 0.047, 0.653, 0.046, 0.954, 0.040, 1.129, 0.039, 4.919, 0.037, 2.886, 0.034, 4.919, 0.029, 0.954, 0.023, 2.083, 0.023, 2.384, 0.051, 2.886, 0.047, 0.653, 0.046, 0.954, 0.040, 1.129, 0.039, 4.919, 0.080, 0.954, 0.080, 2.886, 0.075, 0.803, 0.071, 2.811, 0.062, 2.384, 0.191, 0.803, 0.144, 1.129, 0.141, 0.954, 0.139, 2.886, 0.133, 2.384,7
 0.058, 1.556, 0.046, 2.309, 0.039, 0.653, 0.037, 0.904, 0.035, 2.183, 0.043, 1.556, 0.031, 2.309, 0.025, 1.054, 0.024, 0.653, 0.021, 2.183, 0.058, 1.556, 0.046, 2.309, 0.039, 0.653, 0.037, 0.904, 0.035, 2.183, 0.121, 1.556, 0.083, 1.054, 0.073, 2.309, 0.072, 2.510, 0.063, 1.807, 0.176, 1.556, 0.156, 1.807, 0.135, 1.054, 0.133, 2.510, 0.132, 2.309,7
 0.155, 0.602, 0.151, 2.886, 0.125, 1.029, 0.112, 0.954, 0.110, 0.853, 0.106, 2.886, 0.078, 1.029, 0.059, 0.602, 0.057, 0.653, 0.046, 1.129, 0.155, 0.602, 0.151, 2.886, 0.125, 1.029, 0.112, 0.954, 0.110, 0.853, 0.239, 1.029, 0.207, 1.581, 0.173, 2.886, 0.155, 1.129, 0.132, 0.653, 0.476, 0.954, 0.375, 1.029, 0.346, 2.886, 0.340, 1.581, 0.328, 0.778,7
