ExtremeAbsMode1-Value,ExtremeAbsMode1-freq,ExtremeAbsMode2-Value,ExtremeAbsMode2-freq,ExtremeAbsMode3-Value,ExtremeAbsMode3-freq,ExtremeAbsMode4-Value,ExtremeAbsMode4-freq,ExtremeAbsMode5-Value,ExtremeAbsMode5-freq,ExtremeDiffMode1-Value,ExtremeDiffMode1-freq,ExtremeDiffMode2-Value,ExtremeDiffMode2-freq,ExtremeDiffMode3-Value,ExtremeDiffMode3-freq,ExtremeDiffMode4-Value,ExtremeDiffMode4-freq,ExtremeDiffMode5-Value,ExtremeDiffMode5-freq,ExtremeTrendMode1-Value,ExtremeTrendMode1-freq,ExtremeTrendMode2-Value,ExtremeTrendMode2-freq,ExtremeTrendMode3-Value,ExtremeTrendMode3-freq,ExtremeTrendMode4-Value,ExtremeTrendMode4-freq,ExtremeTrendMode5-Value,ExtremeTrendMode5-freq,ExtremePowerMode1-Value,ExtremePowerMode1-freq,ExtremePowerMode2-Value,ExtremePowerMode2-freq,ExtremePowerMode3-Value,ExtremePowerMode3-freq,ExtremePowerMode4-Value,ExtremePowerMode4-freq,ExtremePowerMode5-Value,ExtremePowerMode5-freq,ExtremePower2Mode1-Value,ExtremePower2Mode1-freq,ExtremePower2Mode2-Value,ExtremePower2Mode2-freq,ExtremePower2Mode3-Value,ExtremePower2Mode3-freq,ExtremePower2Mode4-Value,ExtremePower2Mode4-freq,ExtremePower2Mode5-Value,ExtremePower2Mode5-freq,ExpertResult
 0.398, 2.148, 0.268, 2.734, 0.245, 0.781, 0.215, 2.344,0,0, 0.261, 2.148, 0.194, 0.781, 0.192, 2.734, 0.069, 2.344,0,0, 0.398, 2.148, 0.268, 2.734, 0.245, 0.781, 0.215, 2.344,0,0, 0.898, 2.148, 0.701, 2.734, 0.563, 0.781,0,0,0,0, 1.528, 2.148, 1.091, 2.734, 0.997, 0.781, 0.645, 2.344,0,0,ESValid
 0.626, 0.586, 0.565, 0.391,0,0,0,0,0,0, 0.268, 0.586, 0.106, 0.391,0,0,0,0,0,0, 0.626, 0.586, 0.565, 0.391,0,0,0,0,0,0, 0.933, 2.441, 0.902, 0.586, 0.418, 1.172,0,0,0,0, 2.613, 0.586,0,0,0,0,0,0,0,0,ESFailure
 0.149, 0.391, 0.117, 0.781, 0.099, 2.051, 0.083, 1.465, 0.075, 1.270, 0.040, 2.051, 0.030, 0.781, 0.027, 0.391, 0.018, 1.465, 0.013, 2.930, 0.149, 0.391, 0.117, 0.781, 0.099, 2.051, 0.083, 1.465, 0.075, 1.270, 0.181, 0.781, 0.066, 2.051, 0.064, 1.465,0,0,0,0, 0.706, 0.781, 0.510, 1.465, 0.284, 2.051, 0.251, 0.391, 0.215, 1.270,ESFailure
 0.507, 0.391, 0.502, 0.586, 0.420, 0.879, 0.312, 1.074, 0.257, 2.051, 0.092, 0.879, 0.081, 0.586, 0.067, 1.074, 0.053, 2.051, 0.040, 1.660, 0.507, 0.391, 0.502, 0.586, 0.420, 0.879, 0.312, 1.074, 0.257, 2.051, 0.372, 1.074, 0.286, 0.586, 0.225, 0.879, 0.154, 2.051, 0.150, 2.441, 1.906, 1.074, 1.849, 0.586, 1.103, 0.879, 1.098, 2.051, 0.844, 3.516,ESFailure
 0.345, 0.391, 0.194, 1.074,0,0,0,0,0,0, 0.122, 0.391, 0.051, 1.074,0,0,0,0,0,0, 0.345, 0.391, 0.194, 1.074,0,0,0,0,0,0, 0.390, 0.391, 0.189, 1.074,0,0,0,0,0,0, 1.428, 0.391, 0.815, 1.074,0,0,0,0,0,0,ESFailure
 0.388, 0.293, 0.277, 0.586, 0.206, 0.879,0,0,0,0, 0.161, 0.293, 0.080, 0.586, 0.042, 0.879,0,0,0,0, 0.388, 0.293, 0.277, 0.586, 0.206, 0.879,0,0,0,0, 0.317, 0.586, 0.191, 1.074, 0.179, 2.441, 0.132, 1.855, 0.071, 2.246, 1.189, 0.586, 0.708, 1.074, 0.632, 2.441, 0.558, 1.855, 0.535, 0.879,ESFailure
 0.376, 0.781, 0.344, 0.586, 0.290, 2.051, 0.288, 0.391, 0.246, 1.563, 0.142, 2.051, 0.141, 0.781, 0.062, 1.563, 0.052, 0.586, 0.034, 2.832, 0.376, 0.781, 0.344, 0.586, 0.290, 2.051, 0.288, 0.391, 0.246, 1.563, 0.896, 2.051, 0.572, 0.781, 0.205, 1.563,0,0,0,0, 2.159, 2.051, 1.664, 0.781, 1.074, 1.563, 0.946, 0.586, 0.805, 2.832,ESFailure
 0.714, 2.148, 0.626, 1.855,0,0,0,0,0,0, 0.563, 2.148, 0.437, 1.855,0,0,0,0,0,0, 0.714, 2.148, 0.626, 1.855,0,0,0,0,0,0, 2.268, 2.148, 0.730, 1.855,0,0,0,0,0,0, 3.273, 2.148, 1.424, 1.855,0,0,0,0,0,0,ESIdeal
 0.670, 0.488, 0.662, 0.293,0,0,0,0,0,0, 0.362, 0.488, 0.128, 0.293,0,0,0,0,0,0, 0.670, 0.488, 0.662, 0.293,0,0,0,0,0,0, 2.104, 0.488,0,0,0,0,0,0,0,0, 3.687, 0.488,0,0,0,0,0,0,0,0,ESWarning
 0.691, 2.246,0,0,0,0,0,0,0,0, 0.581, 2.246,0,0,0,0,0,0,0,0, 0.691, 2.246,0,0,0,0,0,0,0,0, 2.954, 2.246,0,0,0,0,0,0,0,0, 3.699, 2.246,0,0,0,0,0,0,0,0,ESValid
